pathway	gene1	gene2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	LDHC	PKM2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PGAM4	PGK1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PGAM4	PGK2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH7A1	AKR1A1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH7A1	ADH1A
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH7A1	ADH1B
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH7A1	ADH1C
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH7A1	ADH4
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH7A1	ADH5
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH7A1	ADH6
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH7A1	ADH7
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH7A1	ACSS2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH7A1	ACSS1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PCK1	ENO1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PCK1	ENO2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PCK1	ENO3
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PCK1	PKLR
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PCK1	PKM2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PCK2	ENO1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PCK2	ENO2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PCK2	ENO3
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PCK2	PKLR
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PCK2	PKM2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHA1	LDHAL6A
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHA1	DLAT
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHA1	DLD
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHA1	LDHA
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHA1	LDHB
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHA1	LDHC
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHA1	PKLR
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHA1	PKM2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHA1	LDHAL6B
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHA2	LDHAL6A
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHA2	DLAT
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHA2	DLD
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHA2	LDHA
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHA2	LDHB
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHA2	LDHC
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHA2	PKLR
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHA2	PKM2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHA2	LDHAL6B
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHB	LDHAL6A
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHB	DLAT
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHB	DLD
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHB	LDHA
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHB	LDHB
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHB	LDHC
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHB	PKLR
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHB	PKM2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PDHB	LDHAL6B
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PFKL	GPI
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PFKM	GPI
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PFKP	GPI
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PGAM1	PGK1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PGAM1	PGK2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PGAM2	PGK1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PGAM2	PGK2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PGK1	BPGM
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PGK2	BPGM
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PGM1	G6PC
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PGM1	GCK
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PGM1	GPI
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PGM1	HK1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PGM1	HK2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PGM1	HK3
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PGM1	G6PC2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PGM3	G6PC
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PGM3	GCK
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PGM3	GPI
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PGM3	HK1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PGM3	HK2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PGM3	HK3
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PGM3	G6PC2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PKLR	ENO1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PKLR	ENO2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PKLR	ENO3
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PKM2	ENO1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PKM2	ENO2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	PKM2	ENO3
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ACSS2	DLAT
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ACSS2	ALDH3A1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ACSS2	ALDH1A3
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ACSS2	ALDH3B1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ACSS2	ALDH3B2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	BPGM	PGAM4
Glycolysis / Gluconeogenesis - Homo sapiens (human)	BPGM	PGAM1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	BPGM	PGAM2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	BPGM	PGK1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	BPGM	PGK2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	BPGM	BPGM
Glycolysis / Gluconeogenesis - Homo sapiens (human)	BPGM	LOC728188
Glycolysis / Gluconeogenesis - Homo sapiens (human)	TPI1	ALDOA
Glycolysis / Gluconeogenesis - Homo sapiens (human)	TPI1	ALDOB
Glycolysis / Gluconeogenesis - Homo sapiens (human)	TPI1	ALDOC
Glycolysis / Gluconeogenesis - Homo sapiens (human)	LOC728188	PGK1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	LOC728188	PGK2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	LOC729708	ALDOA
Glycolysis / Gluconeogenesis - Homo sapiens (human)	LOC729708	ALDOB
Glycolysis / Gluconeogenesis - Homo sapiens (human)	LOC729708	ALDOC
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ACSS1	DLAT
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ACSS1	ALDH3A1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ACSS1	ALDH1A3
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ACSS1	ALDH3B1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ACSS1	ALDH3B2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	FBP2	GPI
Glycolysis / Gluconeogenesis - Homo sapiens (human)	LDHAL6B	PKLR
Glycolysis / Gluconeogenesis - Homo sapiens (human)	LDHAL6B	PKM2
Citrate cycle (TCA cycle) - Homo sapiens (human)	CS	ACO1
Citrate cycle (TCA cycle) - Homo sapiens (human)	CS	ACO2
Citrate cycle (TCA cycle) - Homo sapiens (human)	CS	PC
Citrate cycle (TCA cycle) - Homo sapiens (human)	CS	PCK1
Citrate cycle (TCA cycle) - Homo sapiens (human)	CS	PCK2
Citrate cycle (TCA cycle) - Homo sapiens (human)	DLAT	CS
Citrate cycle (TCA cycle) - Homo sapiens (human)	DLAT	ACLY
Citrate cycle (TCA cycle) - Homo sapiens (human)	DLAT	PDHA1
Citrate cycle (TCA cycle) - Homo sapiens (human)	DLAT	PDHA2
Citrate cycle (TCA cycle) - Homo sapiens (human)	DLAT	PDHB
Citrate cycle (TCA cycle) - Homo sapiens (human)	DLD	OGDH
Citrate cycle (TCA cycle) - Homo sapiens (human)	DLD	PDHA1
Citrate cycle (TCA cycle) - Homo sapiens (human)	DLD	PDHA2
Citrate cycle (TCA cycle) - Homo sapiens (human)	DLD	PDHB
Citrate cycle (TCA cycle) - Homo sapiens (human)	DLD	OGDHL
Citrate cycle (TCA cycle) - Homo sapiens (human)	DLST	DLD
Citrate cycle (TCA cycle) - Homo sapiens (human)	DLST	OGDH
Citrate cycle (TCA cycle) - Homo sapiens (human)	DLST	OGDHL
Citrate cycle (TCA cycle) - Homo sapiens (human)	FH	SDHA
Citrate cycle (TCA cycle) - Homo sapiens (human)	FH	SDHB
Citrate cycle (TCA cycle) - Homo sapiens (human)	FH	SDHC
Citrate cycle (TCA cycle) - Homo sapiens (human)	FH	SDHD
Citrate cycle (TCA cycle) - Homo sapiens (human)	FH	hCG_1776980
Citrate cycle (TCA cycle) - Homo sapiens (human)	FH	LOC651820
Citrate cycle (TCA cycle) - Homo sapiens (human)	LOC283398	DLST
Citrate cycle (TCA cycle) - Homo sapiens (human)	IDH1	IDH3A
Citrate cycle (TCA cycle) - Homo sapiens (human)	IDH1	IDH3B
Citrate cycle (TCA cycle) - Homo sapiens (human)	IDH1	IDH3G
Citrate cycle (TCA cycle) - Homo sapiens (human)	IDH2	IDH3A
Citrate cycle (TCA cycle) - Homo sapiens (human)	IDH2	IDH3B
Citrate cycle (TCA cycle) - Homo sapiens (human)	IDH2	IDH3G
